year,fuel_g_tkm observation,fuel_g/tkm_ estimated,air_factor (CO2_kg/tkm),truck_factor (CO2_kg/tkm)
2000,72.0,75.16824145460879,0.2375316429965638,0.10921498291211658
2001,72.0,74.41869418639861,0.23516307362901961,0.10749854799419221
2002,71.0,73.67662110005605,0.23281812267617716,0.10580908875990497
2003,75.0,72.9419476660653,0.23049655462476637,0.10414618125638558
2004,74.0,72.21460009808975,0.2281981363099636,0.10250940819365677
2005,73.0,71.49450534555945,0.22592263689196784,0.10089835883991619
2006,72.0,70.7815910863352,0.22366982783281922,0.09931262891846891
2007,71.0,70.07578571944562,0.22143948287344817,0.09775182050627794
2008,70.0,69.37701835789427,0.2192313780109459,0.09621554193410894
2009,69.0,68.68521882154207,0.21704529147607293,0.09470340768824625
2010,69.0,68.00031763005691,0.21488100371097985,0.09321503831374994
2011,68.0,67.32224599593742,0.21273829734716226,0.09175006031923681
2012,66.0,66.65093581760257,0.21061695718362416,0.09030810608315613
2013,66.0,65.98631967255275,0.2085167701652667,0.0888888137615387
2014,66.0,65.32833081059894,0.20643752536149265,0.08749182719719535
2015,66.0,64.676903147157,0.20437901394501615,0.08611679583034422
2016,66.0,64.03197125661247,0.2023410291708954,0.08476337461063933
2017,64.0,63.39347036574769,0.2003233663557627,0.08343122391058493
2018,62.0,62.76133634723822,0.1983258228572728,0.0821200094403091
2019,60.0,62.13550571321064,0.19634819805374565,0.08082940216367675
2020,59.0,61.51591560886692,0.19439029332401947,0.0795590782157224
2021,,60.90250380617228,0.19245191202750442,0.07830871882137816
2022,,60.295208697603826,0.1905328594844281,0.0770780102154797
2023,,59.69396928996481,0.18863294295628882,0.07586664356403373
2024,,59.09872519825709,0.1867519716264924,0.07467431488671465
