Year,circuitIdFrom,circuitIdTo,Car,Plane
1950,6,9,10482,7864
1950,6,13,735,694
1950,6,14,10646,8191
1950,6,19,2621,1899
1950,6,55,13395,9728
1950,6,66,2338,1829
1950,9,13,8419,6285
1950,9,14,10285,8498
1950,9,19,14652,10805
1950,9,55,11824,8500
1950,9,66,3119,2884
1950,13,14,12563,10756
1950,13,19,13963,11510
1950,13,55,11412,9419
1950,13,66,3309,2989
1950,14,19,14504,11895
1950,14,55,9484,7182
1950,14,66,6454,4874
1950,19,55,2756,2461
1950,19,66,13433,10059
1950,55,66,7503,5392
1951,9,13,2792,2549
1951,9,14,12830,10567
1951,9,19,14681,10706
1951,9,20,8961,6889
1951,9,55,3291,2612
1951,9,66,8929,6860
1951,9,67,7910,7159
1951,13,14,12437,9083
1951,13,19,14722,11768
1951,13,20,1489,1378
1951,13,55,2444,1901
1951,13,66,8143,6404
1951,13,67,1338,1078
1951,14,19,1187,967
1951,14,20,6072,5315
1951,14,55,6592,4866
1951,14,66,5754,5409
1951,14,67,9020,7317
1951,19,20,11245,10706
1951,19,55,9900,9058
1951,19,66,13448,11398
1951,19,67,5425,4311
1951,20,55,3144,2988
1951,20,66,12922,10233
1951,20,67,13042,10167
1951,55,66,5373,3876
1951,55,67,2058,1696
1951,66,67,12828,11096
1952,9,13,2544,1902
1952,9,14,2387,1762
1952,9,19,11583,8842
1952,9,20,12649,9421
1952,9,39,8704,6464
1952,9,53,8546,6364
1952,9,66,2505,1936
1952,13,14,4309,4095
1952,13,19,14907,11694
1952,13,20,12021,9015
1952,13,39,9467,7590
1952,13,53,3374,3200
1952,13,66,7615,7184
1952,14,19,7139,6301
1952,14,20,9704,8580
1952,14,39,10962,8820
1952,14,53,7048,5439
1952,14,66,7164,5516
1952,19,20,819,757
1952,19,39,10232,8429
1952,19,53,7844,6669
1952,19,66,13959,10046
1952,20,39,4674,3986
1952,20,53,6223,4502
1952,20,66,4822,4189
1952,39,53,5314,3901
1952,39,66,13586,11908
1952,53,66,2081,1690
1953,9,13,10646,9100
1953,9,14,8714,6523
1953,9,19,1791,1465
1953,9,20,11822,8956
1953,9,25,11676,10048
1953,9,39,1152,1070
1953,9,55,16083,11901
1953,9,66,8571,7236
1953,13,14,15601,11990
1953,13,19,7101,6075
1953,13,20,9353,7754
1953,13,25,2656,2465
1953,13,39,1760,1389
1953,13,55,4012,3819
1953,13,66,2193,1573
1953,14,19,939,748
1953,14,20,10097,8906
1953,14,25,1641,1438
1953,14,39,4769,4419
1953,14,55,14026,10460
1953,14,66,12382,9800
1953,19,20,9456,6886
1953,19,25,4125,3758
1953,19,39,3555,2894
1953,19,55,3295,2572
1953,19,66,12048,11128
1953,20,25,7273,6529
1953,20,39,3594,3056
1953,20,55,11716,10499
1953,20,66,3456,2692
1953,25,39,8193,6869
1953,25,55,3619,2627
1953,25,66,9226,7880
1953,39,55,3069,2768
1953,39,66,6357,4964
1953,55,66,11780,10032
1954,9,13,4122,3746
1954,9,14,11002,8743
1954,9,19,10982,9163
1954,9,20,8174,6497
1954,9,25,3851,2807
1954,9,55,8314,6424
1954,9,66,953,697
1954,9,67,5248,4505
1954,13,14,10055,8147
1954,13,19,14062,10922
1954,13,20,3188,2451
1954,13,25,14169,11318
1954,13,55,9871,7301
1954,13,66,12041,8664
1954,13,67,4434,3701
1954,14,19,2535,1865
1954,14,20,11457,9420
1954,14,25,12783,9868
1954,14,55,12114,10161
1954,14,66,3957,2836
1954,14,67,7707,6017
1954,19,20,7044,6348
1954,19,25,6844,6013
1954,19,55,6422,5091
1954,19,66,7215,6758
1954,19,67,13276,10843
1954,20,25,13298,9943
1954,20,55,2841,2318
1954,20,66,9052,8505
1954,20,67,1630,1437
1954,25,55,10340,7529
1954,25,66,5179,4434
1954,25,67,13214,11725
1954,55,66,7537,6105
1954,55,67,6845,5805
1954,66,67,10654,8853
1955,6,13,9598,7003
1955,6,14,5748,5350
1955,6,19,1314,965
1955,6,25,10909,9789
1955,6,39,15444,11447
1955,6,58,3442,2776
